2018-12-20;lg312;lg;Aleksandra;Adamczyk;225894690;2;5384;karta;Wyszynskiego;Wroclaw;2019-01-14
2018-12-29;lg36;lg;Aleksandra;Adamczyk;225894690;5;8755;karta;Bohaterów;Poznan;2019-01-26
2018-12-27;lg180;lg;Barbara;Adamczyk;472532994;2;11484;karta;Wyszynskiego;Wroclaw;2019-01-13
2018-12-26;lg228;lg;Cecylia;Adamczyk;382870619;4;30824;karta;Wyszynskiego;Wroclaw;2019-01-23
2018-12-11;lg168;lg;Dariusz;Adamczyk;777263874;3;19035;karta;Wolnosci;Kielce;2019-01-19
2018-12-21;lg420;lg;Edward;Adamczyk;614486176;3;15129;karta;Sienkiewicza;Poznan;2019-01-14
2018-12-24;lg420;lg;Franciszek;Adamczyk;560058424;2;10086;karta;Bohaterów;Poznan;2019-01-25
2018-12-11;lg372;lg;Franciszek;Adamczyk;560058424;4;6488;karta;Sienkiewicza;Poznan;2019-01-10
2018-12-13;lg216;lg;Franciszek;Adamczyk;560058424;3;3432;karta;Sienkiewicza;Poznan;2019-01-18
2018-12-28;lg204;lg;Grazyna;Adamczyk;364052426;3;8859;karta;Sienkiewicza;Poznan;2019-01-30
2018-12-14;lg204;lg;Grazyna;Adamczyk;364052426;1;2953;karta;Wyszynskiego;Wroclaw;2019-01-28
2018-12-16;lg252;lg;Grazyna;Adamczyk;364052426;4;15776;karta;Sienkiewicza;Katowice;2019-01-24
2018-12-14;lg144;lg;Grazyna;Adamczyk;364052426;3;23223;karta;Sienkiewicza;Katowice;2019-01-10
2018-12-12;lg216;lg;Grazyna;Adamczyk;364052426;5;5720;karta;Bohaterów;Poznan;2019-01-18
2018-12-21;lg348;lg;Henryk;Adamczyk;639949926;1;1097;karta;Wyszynskiego;Wroclaw;2019-01-27
2018-12-13;lg360;lg;Ireneusz;Adamczyk;471747090;1;7179;karta;Wyszynskiego;Wroclaw;2019-01-14
2018-12-29;lg240;lg;Janusz;Adamczyk;638711095;3;18570;karta;Wolnosci;Kielce;2019-01-28
2018-12-15;lg288;lg;Leopold;Adamczyk;122850453;1;3054;karta;Wolnosci;Kielce;2019-01-18
2018-12-30;lg180;lg;Leopold;Adamczyk;122850453;1;5742;karta;Wolnosci;Kielce;2019-01-28
2018-12-27;lg204;lg;Marek;Adamczyk;685300769;1;2953;karta;Wyszynskiego;Wroclaw;2019-01-26
2018-12-17;lg84;lg;Marek;Adamczyk;685300769;3;18351;karta;Sienkiewicza;Katowice;2019-01-28
2018-12-18;lg84;lg;Marek;Adamczyk;685300769;3;18351;karta;Wyszynskiego;Wroclaw;2019-01-30
2018-12-25;lg384;lg;Norbert;Adamczyk;198081190;5;30245;karta;Sienkiewicza;Katowice;2019-01-22
2018-12-23;lg48;lg;Patrycja;Adamczyk;183640385;5;17605;karta;Bohaterów;Poznan;2019-01-18
2018-12-22;lg432;lg;Patrycja;Adamczyk;183640385;3;12288;karta;Sienkiewicza;Katowice;2019-01-28
2018-12-21;lg0;lg;Patrycja;Adamczyk;183640385;5;33945;karta;Bohaterów;Poznan;2019-01-20
2018-12-10;lg48;lg;Stefan;Adamczyk;880613052;4;14084;karta;Wyszynskiego;Wroclaw;2019-01-19
2018-12-14;lg228;lg;Cecylia;Adamiak;859407008;3;23118;karta;Wyszynskiego;Wroclaw;2019-01-15
2018-12-10;lg456;lg;Cecylia;Adamiak;859407008;3;16539;karta;Sienkiewicza;Katowice;2019-01-21
2018-12-11;lg168;lg;Dariusz;Adamiak;322785936;5;31725;karta;Bohaterów;Poznan;2019-01-28
2018-12-12;lg348;lg;Franciszek;Adamiak;750116551;5;5485;karta;Wyszynskiego;Wroclaw;2019-01-27
2018-12-29;lg240;lg;Grazyna;Adamiak;739825208;2;12380;karta;Wolnosci;Kielce;2019-01-23
2018-12-15;lg240;lg;Grazyna;Adamiak;739825208;3;18570;karta;Bohaterów;Poznan;2019-01-14
2018-12-19;lg408;lg;Grazyna;Adamiak;739825208;4;4448;karta;Bohaterów;Poznan;2019-01-23
2018-12-24;lg48;lg;Grazyna;Adamiak;739825208;3;10563;karta;Sienkiewicza;Katowice;2019-01-18
2018-12-11;lg144;lg;Grazyna;Adamiak;739825208;1;7741;karta;Bohaterów;Poznan;2019-01-26
2018-12-28;lg444;lg;Ireneusz;Adamiak;363823836;4;12320;karta;Bohaterów;Poznan;2019-01-14
2018-12-14;lg288;lg;Ireneusz;Adamiak;363823836;1;3054;karta;Bohaterów;Poznan;2019-01-27
2018-12-11;lg336;lg;Janusz;Adamiak;782786060;2;11348;karta;Bohaterów;Poznan;2019-01-20
2018-12-18;lg228;lg;Marek;Adamiak;731152229;5;38530;karta;Wolnosci;Kielce;2019-01-17
2018-12-30;lg48;lg;Marek;Adamiak;731152229;4;14084;karta;Wolnosci;Kielce;2019-01-25
2018-12-12;lg228;lg;Robert;Adamiak;273021454;2;15412;karta;Sienkiewicza;Katowice;2019-01-18
2018-12-28;lg144;lg;Stefan;Adamiak;345224110;3;23223;karta;Wyszynskiego;Wroclaw;2019-01-27
2018-12-22;lg144;lg;Stefan;Adamiak;345224110;3;23223;karta;Wolnosci;Kielce;2019-01-29
2018-12-14;lg240;lg;Tomasz;Adamiak;888170495;5;30950;karta;Wyszynskiego;Wroclaw;2019-01-27
2018-12-14;lg396;lg;Tomasz;Adamiak;888170495;4;30344;karta;Wolnosci;Kielce;2019-01-30
2018-12-10;lg360;lg;Tomasz;Adamiak;888170495;1;7179;karta;Sienkiewicza;Katowice;2019-01-20
2018-12-18;lg312;lg;Urszula;Adamiak;345474911;3;8076;karta;Wyszynskiego;Wroclaw;2019-01-26
2018-12-19;lg48;lg;Urszula;Adamiak;345474911;5;17605;karta;Bohaterów;Poznan;2019-01-28
